author,article
"Brian Doughtery","ASCENT: An Algorithmic Technique for Designing Hardware and Software in Tandem"
"Douglas C. Schmidt","ASCENT: An Algorithmic Technique for Designing Hardware and Software in Tandem"
"Yi Liu","Evolutionary Optimization of Software Quality Modeling with Multiple Repositories"
"Taghi M. Khoshgoftaar","Evolutionary Optimization of Software Quality Modeling with Multiple Repositories"
"Naeem Seliya","Evolutionary Optimization of Software Quality Modeling with Multiple Repositories"
"Klaus Krogmann","Using Genetic Search for Reverse Engineering of Parametric Behavior Models for Performance Prediction"
"Michael Kuperberg","Using Genetic Search for Reverse Engineering of Parametric Behavior Models for Performance Prediction"
"Ralf Reussner","Using Genetic Search for Reverse Engineering of Parametric Behavior Models for Performance Prediction"
"Hyunsook Do","The Effects of Time Constraints on Test Case Prioritization: A Series of Controlled Experiments"
"Siavash Mirarab","The Effects of Time Constraints on Test Case Prioritization: A Series of Controlled Experiments"
"Ladan Tahvildari","The Effects of Time Constraints on Test Case Prioritization: A Series of Controlled Experiments"
"Gregg Rothermel","The Effects of Time Constraints on Test Case Prioritization: A Series of Controlled Experiments"
"Thomas Zimmermann","What Makes a Good Bug Report?"
"Rahul Premraj","What Makes a Good Bug Report?"
"Nicolas Bettenburg","What Makes a Good Bug Report?"
"Sascha Just","What Makes a Good Bug Report?"
"Adrian Schroter","What Makes a Good Bug Report?"
"Michele Sama","Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification"
"Sebastian Elbaum","Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification"
"Franco Raimondi","Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification"
"David S. Rosenblum","Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification"
"Zhimin Wang","Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification"
"Reda Bendraou","A Comparison of Six UML-Based Languages for Software Process Modeling"
"Jean-Marc Jezequel","A Comparison of Six UML-Based Languages for Software Process Modeling"
"Marie-Pierre Gervais","A Comparison of Six UML-Based Languages for Software Process Modeling"
"Xavier Blanc","A Comparison of Six UML-Based Languages for Software Process Modeling"
"Stephen MacDonell","How Reliable Are Systematic Reviews in Empirical Software Engineering?"
"Martin Shepperd","How Reliable Are Systematic Reviews in Empirical Software Engineering?"
"Barbara Kitchenham","How Reliable Are Systematic Reviews in Empirical Software Engineering?"
"Emilia Mendes","How Reliable Are Systematic Reviews in Empirical Software Engineering?"
"Zhiqiang Lin","Reverse Engineering Input Syntactic Structure from Program Execution and Its Applications"
"Xiangyu Zhang","Reverse Engineering Input Syntactic Structure from Program Execution and Its Applications"
"Dongyan Xu","Reverse Engineering Input Syntactic Structure from Program Execution and Its Applications"
"Paul Emberson","Stressing Search with Scenarios for Flexible Solutions to Real-Time Task Allocation Problems"
"Iain Bate","Stressing Search with Scenarios for Flexible Solutions to Real-Time Task Allocation Problems"
"Ruggero Lanotte","Time and Probability-Based Information Flow Analysis"
"Andreas Maggiolo-Schettini","Time and Probability-Based Information Flow Analysis"
"Angelo Troina","Time and Probability-Based Information Flow Analysis"
"Davide Balzarotti","An Experience in Testing the Security of Real-World Electronic Voting Systems"
"Greg Banks","An Experience in Testing the Security of Real-World Electronic Voting Systems"
"Marco Cova","An Experience in Testing the Security of Real-World Electronic Voting Systems"
"Viktoria Felmetsger","An Experience in Testing the Security of Real-World Electronic Voting Systems"
"Richard Kemmerer","An Experience in Testing the Security of Real-World Electronic Voting Systems"
"Shay Artzi","Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking"
"Adam Kiezun","Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking"
"Julian Dolby","Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking"
"Frank Tip","Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking"
"Daniel Dig","Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking"
