author,article
"Yu Jiang","Verifying simulink stateflow model: timed automata approach"
"Ming Gu","Verifying simulink stateflow model: timed automata approach"
"Jiaguang Sun","Verifying simulink stateflow model: timed automata approach"
"David Lo","Verifying simulink stateflow model: timed automata approach"
"Sven Apel","Verifying simulink stateflow model: timed automata approach"
"Sarfraz Khurshid","Verifying simulink stateflow model: timed automata approach"
"Lin Cheng","GUICat: GUI testing as a service"
"Jialiang Chang","GUICat: GUI testing as a service"
"Zijiang Yang","GUICat: GUI testing as a service"
"Chao Wang","GUICat: GUI testing as a service"
"David Lo","GUICat: GUI testing as a service"
"Sven Apel","GUICat: GUI testing as a service"
"Sarfraz Khurshid","GUICat: GUI testing as a service"
"Nor Aiza Moketar","An automated collaborative requirements engineering tool for better validation of requirements"
"Massila Kamalrudin","An automated collaborative requirements engineering tool for better validation of requirements"
"Safiah Sidek","An automated collaborative requirements engineering tool for better validation of requirements"
"Mark Robinson","An automated collaborative requirements engineering tool for better validation of requirements"
"John Grundy","An automated collaborative requirements engineering tool for better validation of requirements"
"David Lo","An automated collaborative requirements engineering tool for better validation of requirements"
"Sven Apel","An automated collaborative requirements engineering tool for better validation of requirements"
"Sarfraz Khurshid","An automated collaborative requirements engineering tool for better validation of requirements"
"Tamás Szabó","An extensible framework for variable-precision data-flow analyses in MPS"
"Simon Alperovich","An extensible framework for variable-precision data-flow analyses in MPS"
"Markus Voelter","An extensible framework for variable-precision data-flow analyses in MPS"
"Sebastian Erdweg","An extensible framework for variable-precision data-flow analyses in MPS"
"David Lo","An extensible framework for variable-precision data-flow analyses in MPS"
"Sven Apel","An extensible framework for variable-precision data-flow analyses in MPS"
"Sarfraz Khurshid","An extensible framework for variable-precision data-flow analyses in MPS"
"Xuan-Bach D. Le","Towards efficient and effective automatic program repair"
"David Lo","Towards efficient and effective automatic program repair"
"Sven Apel","Towards efficient and effective automatic program repair"
"Sarfraz Khurshid","Towards efficient and effective automatic program repair"
"Joseph Chan Joo Keng","Automated testing and notification of mobile app privacy leak-cause behaviours"
"David Lo","Automated testing and notification of mobile app privacy leak-cause behaviours"
"Sven Apel","Automated testing and notification of mobile app privacy leak-cause behaviours"
"Sarfraz Khurshid","Automated testing and notification of mobile app privacy leak-cause behaviours"
"Davoud Mougouei","Factoring requirement dependencies in software requirement selection using graphs and integer programming"
"David Lo","Factoring requirement dependencies in software requirement selection using graphs and integer programming"
"Sven Apel","Factoring requirement dependencies in software requirement selection using graphs and integer programming"
"Sarfraz Khurshid","Factoring requirement dependencies in software requirement selection using graphs and integer programming"
"Önder Babur","Statistical analysis of large sets of models"
"David Lo","Statistical analysis of large sets of models"
"Sven Apel","Statistical analysis of large sets of models"
"Sarfraz Khurshid","Statistical analysis of large sets of models"
"Jürgen Cito","Developer targeted analytics: supporting software development decisions with runtime information"
"David Lo","Developer targeted analytics: supporting software development decisions with runtime information"
"Sven Apel","Developer targeted analytics: supporting software development decisions with runtime information"
"Sarfraz Khurshid","Developer targeted analytics: supporting software development decisions with runtime information"
"Ferdian Thung","API recommendation system for software development"
"David Lo","API recommendation system for software development"
"Sven Apel","API recommendation system for software development"
"Sarfraz Khurshid","API recommendation system for software development"
"Li Lyna Zhang","Systematically testing background services of mobile apps"
"Chieh-Jan Mike Liang","Systematically testing background services of mobile apps"
"Yunxin Liu","Systematically testing background services of mobile apps"
"Enhong Chen","Systematically testing background services of mobile apps"
"Grigore Rosu","Systematically testing background services of mobile apps"
"Massimiliano Di Penta","Systematically testing background services of mobile apps"
"Tien N. Nguyen","Systematically testing background services of mobile apps"
"Ke Mao","Crowd intelligence enhances automated mobile testing"
"Mark Harman","Crowd intelligence enhances automated mobile testing"
"Yue Jia","Crowd intelligence enhances automated mobile testing"
"Grigore Rosu","Crowd intelligence enhances automated mobile testing"
"Massimiliano Di Penta","Crowd intelligence enhances automated mobile testing"
"Tien N. Nguyen","Crowd intelligence enhances automated mobile testing"
"Wei Song","EHBDroid: beyond GUI testing for Android applications"
"Xiangxing Qian","EHBDroid: beyond GUI testing for Android applications"
"Jeff Huang","EHBDroid: beyond GUI testing for Android applications"
"Grigore Rosu","EHBDroid: beyond GUI testing for Android applications"
"Massimiliano Di Penta","EHBDroid: beyond GUI testing for Android applications"
"Tien N. Nguyen","EHBDroid: beyond GUI testing for Android applications"
"Chucheng Zhang","Sketch-guided GUI test generation for mobile applications"
"Haoliang Cheng","Sketch-guided GUI test generation for mobile applications"
"Enyi Tang","Sketch-guided GUI test generation for mobile applications"
"Xin Chen","Sketch-guided GUI test generation for mobile applications"
"Lei Bu","Sketch-guided GUI test generation for mobile applications"
"Xuandong Li","Sketch-guided GUI test generation for mobile applications"
"Grigore Rosu","Sketch-guided GUI test generation for mobile applications"
"Massimiliano Di Penta","Sketch-guided GUI test generation for mobile applications"
"Tien N. Nguyen","Sketch-guided GUI test generation for mobile applications"
"Luca Della Toffola","Saying źhi!ź is not enough: mining inputs for effective test generation"
"Cristian Alexandru Staicu","Saying źhi!ź is not enough: mining inputs for effective test generation"
"Michael Pradel","Saying źhi!ź is not enough: mining inputs for effective test generation"
"Grigore Rosu","Saying źhi!ź is not enough: mining inputs for effective test generation"
"Massimiliano Di Penta","Saying źhi!ź is not enough: mining inputs for effective test generation"
"Tien N. Nguyen","Saying źhi!ź is not enough: mining inputs for effective test generation"
"Patrice Godefroid","Learn&Fuzz: machine learning for input fuzzing"
"Hila Peleg","Learn&Fuzz: machine learning for input fuzzing"
"Rishabh Singh","Learn&Fuzz: machine learning for input fuzzing"
"Grigore Rosu","Learn&Fuzz: machine learning for input fuzzing"
"Massimiliano Di Penta","Learn&Fuzz: machine learning for input fuzzing"
"Tien N. Nguyen","Learn&Fuzz: machine learning for input fuzzing"
"Yangyang Zhao","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Alexander Serebrenik","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Yuming Zhou","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Vladimir Filkov","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Bogdan Vasilescu","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Grigore Rosu","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Massimiliano Di Penta","The impact of continuous integration on other software development practices: a large-scale empirical study"
"Tien N. Nguyen","The impact of continuous integration on other software development practices: a large-scale empirical study"
"David Kavaler","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Sasha Sirovica","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Vincent Hellendoorn","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Raul Aranovich","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Vladimir Filkov","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Grigore Rosu","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Massimiliano Di Penta","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Tien N. Nguyen","Perceived language complexity in GitHub issue discussions and their effect on issue resolution"
"Samim Mirhosseini","Can automated pull requests encourage software developers to upgrade out-of-date dependencies?"
"Chris Parnin","Can automated pull requests encourage software developers to upgrade out-of-date dependencies?"
"Grigore Rosu","Can automated pull requests encourage software developers to upgrade out-of-date dependencies?"
"Massimiliano Di Penta","Can automated pull requests encourage software developers to upgrade out-of-date dependencies?"
"Tien N. Nguyen","Can automated pull requests encourage software developers to upgrade out-of-date dependencies?"
"Matheus Paixao","Are developers aware of the architectural impact of their changes?"
"Jens Krinke","Are developers aware of the architectural impact of their changes?"
"DongGyun Han","Are developers aware of the architectural impact of their changes?"
"Chaiyong Ragkhitwetsagul","Are developers aware of the architectural impact of their changes?"
"Mark Harman","Are developers aware of the architectural impact of their changes?"
"Grigore Rosu","Are developers aware of the architectural impact of their changes?"
"Massimiliano Di Penta","Are developers aware of the architectural impact of their changes?"
"Tien N. Nguyen","Are developers aware of the architectural impact of their changes?"
"Toufique Ahmed","SentiCR: a customized sentiment analysis tool for code review interactions"
"Amiangshu Bosu","SentiCR: a customized sentiment analysis tool for code review interactions"
"Anindya Iqbal","SentiCR: a customized sentiment analysis tool for code review interactions"
"Shahram Rahimi","SentiCR: a customized sentiment analysis tool for code review interactions"
"Grigore Rosu","SentiCR: a customized sentiment analysis tool for code review interactions"
"Massimiliano Di Penta","SentiCR: a customized sentiment analysis tool for code review interactions"
"Tien N. Nguyen","SentiCR: a customized sentiment analysis tool for code review interactions"
"Inderjot Kaur Ratol","Detecting fragile comments"
"Martin P. Robillard","Detecting fragile comments"
"Grigore Rosu","Detecting fragile comments"
"Massimiliano Di Penta","Detecting fragile comments"
"Tien N. Nguyen","Detecting fragile comments"
"Zeqi Lin","Improving software text retrieval using conceptual knowledge in source code"
"Yanzhen Zou","Improving software text retrieval using conceptual knowledge in source code"
"Junfeng Zhao","Improving software text retrieval using conceptual knowledge in source code"
"Bing Xie","Improving software text retrieval using conceptual knowledge in source code"
"Grigore Rosu","Improving software text retrieval using conceptual knowledge in source code"
"Massimiliano Di Penta","Improving software text retrieval using conceptual knowledge in source code"
"Tien N. Nguyen","Improving software text retrieval using conceptual knowledge in source code"
"Siyuan Jiang","Automatically generating commit messages from diffs using neural machine translation"
"Ameer Armaly","Automatically generating commit messages from diffs using neural machine translation"
"Collin McMillan","Automatically generating commit messages from diffs using neural machine translation"
"Grigore Rosu","Automatically generating commit messages from diffs using neural machine translation"
"Massimiliano Di Penta","Automatically generating commit messages from diffs using neural machine translation"
"Tien N. Nguyen","Automatically generating commit messages from diffs using neural machine translation"
"Yan Sun","Improving missing issue-commit link recovery using positive and unlabeled data"
"Celia Chen","Improving missing issue-commit link recovery using positive and unlabeled data"
"Qing Wang","Improving missing issue-commit link recovery using positive and unlabeled data"
"Barry Boehm","Improving missing issue-commit link recovery using positive and unlabeled data"
"Grigore Rosu","Improving missing issue-commit link recovery using positive and unlabeled data"
"Massimiliano Di Penta","Improving missing issue-commit link recovery using positive and unlabeled data"
"Tien N. Nguyen","Improving missing issue-commit link recovery using positive and unlabeled data"
"Yuan Tian","APIBot: question answering bot for API documentation"
"Ferdian Thung","APIBot: question answering bot for API documentation"
"Abhishek Sharma","APIBot: question answering bot for API documentation"
"David Lo","APIBot: question answering bot for API documentation"
"Grigore Rosu","APIBot: question answering bot for API documentation"
"Massimiliano Di Penta","APIBot: question answering bot for API documentation"
"Tien N. Nguyen","APIBot: question answering bot for API documentation"
"Gias Uddin","Automatic summarization of API reviews"
"Foutse Khomh","Automatic summarization of API reviews"
"Grigore Rosu","Automatic summarization of API reviews"
"Massimiliano Di Penta","Automatic summarization of API reviews"
"Tien N. Nguyen","Automatic summarization of API reviews"
"Ahmet Celik","iCoq: regression proof selection for large-scale verification projects"
"Karl Palmskog","iCoq: regression proof selection for large-scale verification projects"
"Milos Gligoric","iCoq: regression proof selection for large-scale verification projects"
"Grigore Rosu","iCoq: regression proof selection for large-scale verification projects"
"Massimiliano Di Penta","iCoq: regression proof selection for large-scale verification projects"
"Tien N. Nguyen","iCoq: regression proof selection for large-scale verification projects"
"Cong Tian","More effective interpolations in software model checking"
"Zhao Duan","More effective interpolations in software model checking"
"Zhenhua Duan","More effective interpolations in software model checking"
"C.-H. Luke Ong","More effective interpolations in software model checking"
"Grigore Rosu","More effective interpolations in software model checking"
"Massimiliano Di Penta","More effective interpolations in software model checking"
"Tien N. Nguyen","More effective interpolations in software model checking"
"Elaheh Ghassabani","Proof-based coverage metrics for formal verification"
"Andrew Gacek","Proof-based coverage metrics for formal verification"
"Michael W. Whalen","Proof-based coverage metrics for formal verification"
"Mats P. E. Heimdahl","Proof-based coverage metrics for formal verification"
"Lucas Wagner","Proof-based coverage metrics for formal verification"
"Grigore Rosu","Proof-based coverage metrics for formal verification"
"Massimiliano Di Penta","Proof-based coverage metrics for formal verification"
"Tien N. Nguyen","Proof-based coverage metrics for formal verification"
"Rodrigo Castaño","Model checker execution reports"
"Víctor Braberman","Model checker execution reports"
"Diego Garbervetsky","Model checker execution reports"
"Sebastian Uchitel","Model checker execution reports"
"Grigore Rosu","Model checker execution reports"
"Massimiliano Di Penta","Model checker execution reports"
"Tien N. Nguyen","Model checker execution reports"
"Chungha Sung","Modular verification of interrupt-driven software"
"Markus Kusano","Modular verification of interrupt-driven software"
"Chao Wang","Modular verification of interrupt-driven software"
"Grigore Rosu","Modular verification of interrupt-driven software"
"Massimiliano Di Penta","Modular verification of interrupt-driven software"
"Tien N. Nguyen","Modular verification of interrupt-driven software"
"Flavio Corradini","BProVe: a formal verification framework for business process models"
"Fabrizio Fornari","BProVe: a formal verification framework for business process models"
"Andrea Polini","BProVe: a formal verification framework for business process models"
"Barbara Re","BProVe: a formal verification framework for business process models"
"Francesco Tiezzi","BProVe: a formal verification framework for business process models"
"Andrea Vandin","BProVe: a formal verification framework for business process models"
"Grigore Rosu","BProVe: a formal verification framework for business process models"
"Massimiliano Di Penta","BProVe: a formal verification framework for business process models"
"Tien N. Nguyen","BProVe: a formal verification framework for business process models"
"Jia Chen","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Oswaldo Olivo","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Isil Dillig","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Calvin Lin","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Grigore Rosu","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Massimiliano Di Penta","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Tien N. Nguyen","Static detection of asymptotic resource side-channel vulnerabilities in web applications"
"Weihang Wang","PAD: programming third-party web advertisement censorship"
"Yonghwi Kwon","PAD: programming third-party web advertisement censorship"
"Yunhui Zheng","PAD: programming third-party web advertisement censorship"
"Yousra Aafer","PAD: programming third-party web advertisement censorship"
"I.-Luk Kim","PAD: programming third-party web advertisement censorship"
"Wen-Chuan Lee","PAD: programming third-party web advertisement censorship"
"Yingqi Liu","PAD: programming third-party web advertisement censorship"
"Weijie Meng","PAD: programming third-party web advertisement censorship"
"Xiangyu Zhang","PAD: programming third-party web advertisement censorship"
"Patrick Eugster","PAD: programming third-party web advertisement censorship"
"Grigore Rosu","PAD: programming third-party web advertisement censorship"
"Massimiliano Di Penta","PAD: programming third-party web advertisement censorship"
"Tien N. Nguyen","PAD: programming third-party web advertisement censorship"
"Sungho Lee","All about activity injection: threats, semantics, and detection"
"Sungjae Hwang","All about activity injection: threats, semantics, and detection"
"Sukyoung Ryu","All about activity injection: threats, semantics, and detection"
"Grigore Rosu","All about activity injection: threats, semantics, and detection"
"Massimiliano Di Penta","All about activity injection: threats, semantics, and detection"
"Tien N. Nguyen","All about activity injection: threats, semantics, and detection"
"Björn Mathis","Detecting information flow by mutating input data"
"Vitalii Avdiienko","Detecting information flow by mutating input data"
"Ezekiel O. Soremekun","Detecting information flow by mutating input data"
"Marcel Böhme","Detecting information flow by mutating input data"
"Andreas Zeller","Detecting information flow by mutating input data"
"Grigore Rosu","Detecting information flow by mutating input data"
"Massimiliano Di Penta","Detecting information flow by mutating input data"
"Tien N. Nguyen","Detecting information flow by mutating input data"
"Liang He","Automatically assessing crashes from heap overflows"
"Yan Cai","Automatically assessing crashes from heap overflows"
"Hong Hu","Automatically assessing crashes from heap overflows"
"Purui Su","Automatically assessing crashes from heap overflows"
"Zhenkai Liang","Automatically assessing crashes from heap overflows"
"Yi Yang","Automatically assessing crashes from heap overflows"
"Huafeng Huang","Automatically assessing crashes from heap overflows"
"Jia Yan","Automatically assessing crashes from heap overflows"
"Xiangkun Jia","Automatically assessing crashes from heap overflows"
"Dengguo Feng","Automatically assessing crashes from heap overflows"
"Grigore Rosu","Automatically assessing crashes from heap overflows"
"Massimiliano Di Penta","Automatically assessing crashes from heap overflows"
"Tien N. Nguyen","Automatically assessing crashes from heap overflows"
"Yasmin Rafiq","Learning to share: engineering adaptive decision-support for online social networks"
"Luke Dickens","Learning to share: engineering adaptive decision-support for online social networks"
"Alessandra Russo","Learning to share: engineering adaptive decision-support for online social networks"
"Arosha K. Bandara","Learning to share: engineering adaptive decision-support for online social networks"
"Mu Yang","Learning to share: engineering adaptive decision-support for online social networks"
"Avelie Stuart","Learning to share: engineering adaptive decision-support for online social networks"
"Mark Levine","Learning to share: engineering adaptive decision-support for online social networks"
"Gul Calikli","Learning to share: engineering adaptive decision-support for online social networks"
"Blaine A. Price","Learning to share: engineering adaptive decision-support for online social networks"
"Bashar Nuseibeh","Learning to share: engineering adaptive decision-support for online social networks"
"Grigore Rosu","Learning to share: engineering adaptive decision-support for online social networks"
"Massimiliano Di Penta","Learning to share: engineering adaptive decision-support for online social networks"
"Tien N. Nguyen","Learning to share: engineering adaptive decision-support for online social networks"
"Jianjun Huang","UI driven Android application reduction"
"Yousra Aafer","UI driven Android application reduction"
"David Perry","UI driven Android application reduction"
"Xiangyu Zhang","UI driven Android application reduction"
"Chen Tian","UI driven Android application reduction"
"Grigore Rosu","UI driven Android application reduction"
"Massimiliano Di Penta","UI driven Android application reduction"
"Tien N. Nguyen","UI driven Android application reduction"
"Bo Jiang","SimplyDroid: efficient event sequence simplification for Android application"
"Yuxuan Wu","SimplyDroid: efficient event sequence simplification for Android application"
"Teng Li","SimplyDroid: efficient event sequence simplification for Android application"
"W. K. Chan","SimplyDroid: efficient event sequence simplification for Android application"
"Grigore Rosu","SimplyDroid: efficient event sequence simplification for Android application"
"Massimiliano Di Penta","SimplyDroid: efficient event sequence simplification for Android application"
"Tien N. Nguyen","SimplyDroid: efficient event sequence simplification for Android application"
"Mattia Fazzini","Automated cross-platform inconsistency detection for mobile apps"
"Alessandro Orso","Automated cross-platform inconsistency detection for mobile apps"
"Grigore Rosu","Automated cross-platform inconsistency detection for mobile apps"
"Massimiliano Di Penta","Automated cross-platform inconsistency detection for mobile apps"
"Tien N. Nguyen","Automated cross-platform inconsistency detection for mobile apps"
"Shuai Wang","In-memory fuzzing for binary code similarity analysis"
"Dinghao Wu","In-memory fuzzing for binary code similarity analysis"
"Grigore Rosu","In-memory fuzzing for binary code similarity analysis"
"Massimiliano Di Penta","In-memory fuzzing for binary code similarity analysis"
"Tien N. Nguyen","In-memory fuzzing for binary code similarity analysis"
"Thomas Rupprecht","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Xi Chen","DSIbin: identifying dynamic data structures in C/C++ binaries"
"David H. White","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Jan H. Boockmann","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Gerald Lüttgen","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Herbert Bos","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Grigore Rosu","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Massimiliano Di Penta","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Tien N. Nguyen","DSIbin: identifying dynamic data structures in C/C++ binaries"
"Ulf Kargén","Towards robust instruction-level trace alignment of binary code"
"Nahid Shahmehri","Towards robust instruction-level trace alignment of binary code"
"Grigore Rosu","Towards robust instruction-level trace alignment of binary code"
"Massimiliano Di Penta","Towards robust instruction-level trace alignment of binary code"
"Tien N. Nguyen","Towards robust instruction-level trace alignment of binary code"
"Soomin Kim","Testing intermediate representations for binary analysis"
"Markus Faerevaag","Testing intermediate representations for binary analysis"
"Minkyu Jung","Testing intermediate representations for binary analysis"
"SeungIl Jung","Testing intermediate representations for binary analysis"
"DongYeop Oh","Testing intermediate representations for binary analysis"
"JongHyup Lee","Testing intermediate representations for binary analysis"
"Sang Kil Cha","Testing intermediate representations for binary analysis"
"Grigore Rosu","Testing intermediate representations for binary analysis"
"Massimiliano Di Penta","Testing intermediate representations for binary analysis"
"Tien N. Nguyen","Testing intermediate representations for binary analysis"
"Mitchell J. Gerrard","Comprehensive failure characterization"
"Matthew B. Dwyer","Comprehensive failure characterization"
"Grigore Rosu","Comprehensive failure characterization"
"Massimiliano Di Penta","Comprehensive failure characterization"
"Tien N. Nguyen","Comprehensive failure characterization"
"Nicolas Coppik","TrEKer: tracing error propagation in operating system kernels"
"Oliver Schwahn","TrEKer: tracing error propagation in operating system kernels"
"Stefan Winter","TrEKer: tracing error propagation in operating system kernels"
"Neeraj Suri","TrEKer: tracing error propagation in operating system kernels"
"Grigore Rosu","TrEKer: tracing error propagation in operating system kernels"
"Massimiliano Di Penta","TrEKer: tracing error propagation in operating system kernels"
"Tien N. Nguyen","TrEKer: tracing error propagation in operating system kernels"
"Matúš Sulír","RuntimeSearch: Ctrl+F for a running program"
"Jaroslav Porubän","RuntimeSearch: Ctrl+F for a running program"
"Grigore Rosu","RuntimeSearch: Ctrl+F for a running program"
"Massimiliano Di Penta","RuntimeSearch: Ctrl+F for a running program"
"Tien N. Nguyen","RuntimeSearch: Ctrl+F for a running program"
"Yun Lin","Mining implicit design templates for actionable code reuse"
"Guozhu Meng","Mining implicit design templates for actionable code reuse"
"Yinxing Xue","Mining implicit design templates for actionable code reuse"
"Zhenchang Xing","Mining implicit design templates for actionable code reuse"
"Jun Sun","Mining implicit design templates for actionable code reuse"
"Xin Peng","Mining implicit design templates for actionable code reuse"
"Yang Liu","Mining implicit design templates for actionable code reuse"
"Wenyun Zhao","Mining implicit design templates for actionable code reuse"
"Jinsong Dong","Mining implicit design templates for actionable code reuse"
"Grigore Rosu","Mining implicit design templates for actionable code reuse"
"Massimiliano Di Penta","Mining implicit design templates for actionable code reuse"
"Tien N. Nguyen","Mining implicit design templates for actionable code reuse"
"Carl Chapman","Exploring regular expression comprehension"
"Peipei Wang","Exploring regular expression comprehension"
"Kathryn T. Stolee","Exploring regular expression comprehension"
"Grigore Rosu","Exploring regular expression comprehension"
"Massimiliano Di Penta","Exploring regular expression comprehension"
"Tien N. Nguyen","Exploring regular expression comprehension"
"Simone Scalabrino","Automatically assessing code understandability: how far are we?"
"Gabriele Bavota","Automatically assessing code understandability: how far are we?"
"Christopher Vendome","Automatically assessing code understandability: how far are we?"
"Mario Linares-Vásquez","Automatically assessing code understandability: how far are we?"
"Denys Poshyvanyk","Automatically assessing code understandability: how far are we?"
"Rocco Oliveto","Automatically assessing code understandability: how far are we?"
"Grigore Rosu","Automatically assessing code understandability: how far are we?"
"Massimiliano Di Penta","Automatically assessing code understandability: how far are we?"
"Tien N. Nguyen","Automatically assessing code understandability: how far are we?"
"Mohammad Masudur Rahman","Improved query reformulation for concept location using CodeRank and document structures"
"Chanchal K. Roy","Improved query reformulation for concept location using CodeRank and document structures"
"Grigore Rosu","Improved query reformulation for concept location using CodeRank and document structures"
"Massimiliano Di Penta","Improved query reformulation for concept location using CodeRank and document structures"
"Tien N. Nguyen","Improved query reformulation for concept location using CodeRank and document structures"
"Lin Shi","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Celia Chen","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Qing Wang","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Shoubin Li","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Barry Boehm","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Grigore Rosu","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Massimiliano Di Penta","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Tien N. Nguyen","Understanding feature requests by leveraging fuzzy method and linguistic analysis"
"Wenyi Qian","O2O service composition with social collaboration"
"Xin Peng","O2O service composition with social collaboration"
"Jun Sun","O2O service composition with social collaboration"
"Yijun Yu","O2O service composition with social collaboration"
"Bashar Nuseibeh","O2O service composition with social collaboration"
"Wenyun Zhao","O2O service composition with social collaboration"
"Grigore Rosu","O2O service composition with social collaboration"
"Massimiliano Di Penta","O2O service composition with social collaboration"
"Tien N. Nguyen","O2O service composition with social collaboration"
"Gwendal Daniel","Gremlin-ATL: a scalable model transformation framework"
"Frédéric Jouault","Gremlin-ATL: a scalable model transformation framework"
"Gerson Sunyé","Gremlin-ATL: a scalable model transformation framework"
"Jordi Cabot","Gremlin-ATL: a scalable model transformation framework"
"Grigore Rosu","Gremlin-ATL: a scalable model transformation framework"
"Massimiliano Di Penta","Gremlin-ATL: a scalable model transformation framework"
"Tien N. Nguyen","Gremlin-ATL: a scalable model transformation framework"
"Mona Rahimi","Diagnosing assumption problems in safety-critical products"
"Wandi Xiong","Diagnosing assumption problems in safety-critical products"
"Jane Cleland-Huang","Diagnosing assumption problems in safety-critical products"
"Robyn Lutz","Diagnosing assumption problems in safety-critical products"
"Grigore Rosu","Diagnosing assumption problems in safety-critical products"
"Massimiliano Di Penta","Diagnosing assumption problems in safety-critical products"
"Tien N. Nguyen","Diagnosing assumption problems in safety-critical products"
"Emilio Incerto","Software performance self-adaptation through efficient model predictive control"
"Mirco Tribastone","Software performance self-adaptation through efficient model predictive control"
"Catia Trubiani","Software performance self-adaptation through efficient model predictive control"
"Grigore Rosu","Software performance self-adaptation through efficient model predictive control"
"Massimiliano Di Penta","Software performance self-adaptation through efficient model predictive control"
"Tien N. Nguyen","Software performance self-adaptation through efficient model predictive control"
"Pooyan Jamshidi","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Norbert Siegmund","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Miguel Velez","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Christian Kästner","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Akshay Patel","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Yuvraj Agarwal","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Grigore Rosu","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Massimiliano Di Penta","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Tien N. Nguyen","Transfer learning for performance modeling of configurable systems: an exploratory analysis"
"Anthony Di Franco","A comprehensive study of real-world numerical bug characteristics"
"Hui Guo","A comprehensive study of real-world numerical bug characteristics"
"Cindy Rubio-González","A comprehensive study of real-world numerical bug characteristics"
"Grigore Rosu","A comprehensive study of real-world numerical bug characteristics"
"Massimiliano Di Penta","A comprehensive study of real-world numerical bug characteristics"
"Tien N. Nguyen","A comprehensive study of real-world numerical bug characteristics"
"Jie Wang","A comprehensive study on real world concurrency bugs in Node.js"
"Wensheng Dou","A comprehensive study on real world concurrency bugs in Node.js"
"Yu Gao","A comprehensive study on real world concurrency bugs in Node.js"
"Chushu Gao","A comprehensive study on real world concurrency bugs in Node.js"
"Feng Qin","A comprehensive study on real world concurrency bugs in Node.js"
"Kang Yin","A comprehensive study on real world concurrency bugs in Node.js"
"Jun Wei","A comprehensive study on real world concurrency bugs in Node.js"
"Grigore Rosu","A comprehensive study on real world concurrency bugs in Node.js"
"Massimiliano Di Penta","A comprehensive study on real world concurrency bugs in Node.js"
"Tien N. Nguyen","A comprehensive study on real world concurrency bugs in Node.js"
"Yoshiki Higo","Generating simpler AST edit scripts by considering copy-and-paste"
"Akio Ohtani","Generating simpler AST edit scripts by considering copy-and-paste"
"Shinji Kusumoto","Generating simpler AST edit scripts by considering copy-and-paste"
"Grigore Rosu","Generating simpler AST edit scripts by considering copy-and-paste"
"Massimiliano Di Penta","Generating simpler AST edit scripts by considering copy-and-paste"
"Tien N. Nguyen","Generating simpler AST edit scripts by considering copy-and-paste"
"Olaf Leßenich","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Sven Apel","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Christian Kästner","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Georg Seibt","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Janet Siegmund","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Grigore Rosu","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Massimiliano Di Penta","Renaming and shifted code in structured merging: looking ahead for precision and performance"
"Tien N. Nguyen","Renaming and shifted code in structured merging: looking ahead for precision and performance"
